nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13570;0.500036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479400;0.511875;0.042961;0.000000;0.000000;-0.000000
13597;0.501027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479395;0.511875;0.043060;0.000000;0.000000;-0.000000
13624;0.502017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479390;0.511875;0.043158;0.000000;0.000000;0.000000
13651;0.503008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479385;0.511875;0.043257;0.000000;0.000000;0.000000
13679;0.504035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479380;0.511875;0.043360;0.000002;0.000001;0.000000
13706;0.505025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.479375;0.511875;0.043459;0.000005;0.000003;0.000000
13733;0.506015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004993;-0.000000;0.099875;6.479370;0.511875;0.043558;0.000021;0.000013;0.000001
13760;0.507004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004993;-0.000001;0.099874;6.479365;0.511875;0.043657;0.000038;0.000023;0.000001
13788;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004992;-0.000001;0.099873;6.479360;0.511875;0.043759;0.000086;0.000068;0.000001
13815;0.509021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004991;-0.000002;0.099872;6.479355;0.511875;0.043858;0.000108;0.000098;0.000004
13842;0.510011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004989;-0.000003;0.099870;6.479350;0.511875;0.043957;0.000173;0.000192;0.000004
13869;0.511001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004991;-0.000002;0.099871;6.479345;0.511875;0.044056;0.000117;0.000174;0.000011
13897;0.512027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004991;-0.000001;0.099872;6.479340;0.511875;0.044158;0.000078;0.000125;0.000009
13924;0.513017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004094;-0.000399;0.099076;6.479335;0.511875;0.044257;0.021790;0.046946;0.001076
13951;0.514008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002696;-0.001044;0.097045;6.479332;0.511874;0.044354;0.056529;0.116531;0.002902
13979;0.515035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001070;-0.001714;0.094891;6.479330;0.511873;0.044452;0.091600;0.197470;0.004219
