time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;6.4803;0.5119;0.0445
0.001003;0;0;0;6.4803;0.5119;0.0445
0.002005;0;0;0;6.4803;0.5119;0.0445
0.003008;0;0;0;6.4803;0.5119;0.0445
0.004011;0;0;0;6.4803;0.5119;0.0445
0.005014;0;0;0;6.4803;0.5119;0.0445
0.006016;0;0;0;6.4803;0.5119;0.0445
0.007017;0;0;0;6.4803;0.5119;0.0445
0.008000;0;0;0;6.4803;0.5119;0.0445
0.009001;0;0;0;6.4803;0.5119;0.0445
0.010002;0;0;0;6.4803;0.5119;0.0445
0.011002;0;0;0;6.4803;0.5119;0.0445
0.012001;0;0;0;6.4803;0.5119;0.0445
0.013001;0;0;0;6.4803;0.5119;0.0445
0.014018;0;0;0;6.4803;0.5119;0.0445
0.015017;0;0;0;6.4803;0.5119;0.0445
0.016016;0;0;0;6.4803;0.5119;0.0445
0.017014;0;0;0;6.4803;0.5119;0.0445
0.018010;0;0;0;6.4803;0.5119;0.0445
0.019005;0;0;0;6.4803;0.5119;0.0445
0.020000;0;0;0;6.4803;0.5119;0.0445
0.021014;0;0;0;6.4803;0.5119;0.0445
0.022006;0;0;0;6.4803;0.5119;0.0445
0.023018;0;0;0;6.4803;0.5119;0.0445
0.024011;0;0;0;6.4803;0.5119;0.0445
0.025003;0;0;0;6.4803;0.5119;0.0445
0.026013;0;0;0;6.4803;0.5119;0.0445
0.027005;0;0;0;6.4803;0.5119;0.0445
0.028014;0;0;0;6.4803;0.5119;0.0445
0.029005;0;0;0;6.4803;0.5119;0.0445
0.030012;0;0;0;6.4803;0.5119;0.0445
0.031002;0;0;0;6.4803;0.5119;0.0445
0.032012;0;0;0;6.4803;0.5119;0.0445
0.033003;0;0;0;6.4803;0.5119;0.0445
0.034010;0;0;0;6.4803;0.5119;0.0445
0.035001;0;0;0;6.4803;0.5119;0.0445
0.036008;0;0;0;6.4803;0.5119;0.0445
0.037015;0;0;0;6.4803;0.5119;0.0445
0.038003;0;0;0;6.4803;0.5119;0.0445
0.039010;0;0;0;6.4803;0.5119;0.0445
0.040017;0;0;0;6.4803;0.5119;0.0445
0.041005;0;0;0;6.4803;0.5119;0.0445
0.042011;0;0;0;6.4803;0.5119;0.0445
0.043018;0;0;0;6.4803;0.5119;0.0445
0.044005;0;0;0;6.4803;0.5119;0.0445
0.045008;0;0;0;6.4803;0.5119;0.0445
0.046012;0;0;0;6.4803;0.5119;0.0445
0.047015;0;0;0;6.4803;0.5119;0.0445
0.048016;0;0;0;6.4803;0.5119;0.0445
0.049002;0;0;0;6.4803;0.5119;0.0445
0.050006;0;0;0;6.4803;0.5119;0.0445
0.051006;0;0;0;6.4803;0.5119;0.0445
0.052008;0;0;0;6.4803;0.5119;0.0445
0.053011;0;0;0;6.4803;0.5119;0.0445
0.054015;0;0;0;6.4803;0.5119;0.0445
0.055002;0;0;0;6.4803;0.5119;0.0445
0.056005;0;0;0;6.4803;0.5119;0.0445
0.057009;0;0;0;6.4803;0.5119;0.0445
0.058012;0;0;0;6.4803;0.5119;0.0445
0.059015;0;0;0;6.4803;0.5119;0.0445
0.060014;0;0;0;6.4803;0.5119;0.0445
0.061013;0;0;0;6.4803;0.5119;0.0445
0.062016;0;0;0;6.4803;0.5119;0.0445
0.063000;0;0;0;6.4803;0.5119;0.0445
0.064017;0;0;0;6.4803;0.5119;0.0445
0.065017;0;0;0;6.4803;0.5119;0.0445
0.066001;0;0;0;6.4803;0.5119;0.0445
0.067003;0;0;0;6.4803;0.5119;0.0445
0.068005;0;0;0;6.4803;0.5119;0.0445
0.069007;0;0;0;6.4803;0.5119;0.0445
0.070000;0;0;0;6.4803;0.5119;0.0445
0.071018;0;0;0;6.4803;0.5119;0.0445
0.072000;0;0;0;6.4803;0.5119;0.0445
0.073003;0;0;0;6.4803;0.5119;0.0445
0.074005;0;0;0;6.4803;0.5119;0.0445
0.075006;0;0;0;6.4803;0.5119;0.0445
0.076006;0;0;0;6.4803;0.5119;0.0445
0.077004;0;0;0;6.4803;0.5119;0.0445
0.078018;0;0;0;6.4803;0.5119;0.0445
0.079015;0;0;0;6.4803;0.5119;0.0445
0.080013;0;0;0;6.4803;0.5119;0.0445
0.081011;0;0;0;6.4803;0.5119;0.0445
0.082009;0;0;0;6.4803;0.5119;0.0445
0.083008;0;0;0;6.4803;0.5119;0.0445
0.084006;0;0;0;6.4803;0.5119;0.0445
0.085006;0;0;0;6.4803;0.5119;0.0445
0.086004;0;0;0;6.4803;0.5119;0.0445
0.087003;0;0;0;6.4803;0.5119;0.0445
0.088004;0;0;0;6.4803;0.5119;0.0445
0.089005;0;0;0;6.4803;0.5119;0.0445
0.090005;0;0;0;6.4803;0.5119;0.0445
0.091006;0;0;0;6.4803;0.5119;0.0445
0.092008;0;0;0;6.4803;0.5119;0.0445
0.093004;0;0;0;6.4803;0.5119;0.0445
0.094003;0;0;0;6.4803;0.5119;0.0445
0.095001;0;0;0;6.4803;0.5119;0.0445
0.096012;0;0;0;6.4803;0.5119;0.0445
0.097007;0;0;0;6.4803;0.5119;0.0445
0.098007;0;0;0;6.4803;0.5119;0.0445
0.099005;0;0;0;6.4803;0.5119;0.0445
0.100003;0;0;0;6.4803;0.5119;0.0445
0.101003;0;0;0;6.4803;0.5119;0.0445
0.102016;0;0;0;6.4803;0.5119;0.0445
0.103011;0;0;0;6.4803;0.5119;0.0445
0.104015;0;0;0;6.4803;0.5119;0.0445
0.105003;0;0;0;6.4803;0.5119;0.0445
0.106007;0;0;0;6.4803;0.5119;0.0445
0.107014;0;0;0;6.4803;0.5119;0.0445
0.108009;0;0;0;6.4803;0.5119;0.0445
0.109012;0;0;0;6.4803;0.5119;0.0445
0.110013;0;0;0;6.4803;0.5119;0.0445
0.111003;0;0;0;6.4803;0.5119;0.0445
0.112010;0;0;0;6.4803;0.5119;0.0445
0.113014;0;0;0;6.4803;0.5119;0.0445
