time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;0.2;0.25;0.75;0.05
0.001031;0.199999;0.25;0.75;0.05
0.002013;0.199998;0.25;0.75;0.05
0.003042;0.199996;0.25;0.75;0.05
0.004023;0.199995;0.25;0.75;0.05
0.005004;0.199993;0.25;0.75;0.05
0.006032;0.19999;0.25;0.75;0.05
0.007013;0.199984;0.25;0.75;0.05
0.008040;0.199963;0.25;0.75;0.05
0.009021;0.199943;0.25;0.75;0.05
0.010001;0.199945;0.25;0.75;0.05
0.011028;0.199941;0.25;0.75;0.05
0.012007;0.199936;0.25;0.75;0.05
0.013033;0.19993;0.25;0.75;0.05
0.014012;0.199928;0.25;0.75;0.05
0.015037;0.199923;0.25;0.75;0.05
0.016016;0.199921;0.25;0.75;0.05
0.017040;0.199922;0.25;0.75;0.05
0.018016;0.199924;0.25;0.75;0.05
0.019039;0.199927;0.25;0.75;0.05
0.020015;0.19993;0.25;0.75;0.05
0.021036;0.199934;0.25;0.75;0.05
0.022011;0.199942;0.25;0.75;0.05
0.023033;0.199959;0.25;0.75;0.05
0.024009;0.199977;0.25;0.75;0.05
0.025031;0.199985;0.25;0.75;0.05
0.026006;0.199983;0.25;0.75;0.05
0.027027;0.199988;0.25;0.75;0.05
0.028002;0.199993;0.25;0.75;0.05
0.029023;0.199996;0.25;0.75;0.05
0.030044;0.199995;0.25;0.75;0.05
0.031017;0.199994;0.25;0.75;0.05
0.032034;0.199993;0.25;0.75;0.05
0.033005;0.199992;0.25;0.75;0.05
0.034021;0.199991;0.25;0.75;0.05
0.035037;0.199988;0.25;0.75;0.05
0.036007;0.199984;0.25;0.75;0.05
0.037023;0.199977;0.25;0.75;0.05
0.038041;0.199965;0.25;0.75;0.05
0.039011;0.199951;0.25;0.75;0.05
0.040025;0.19994;0.25;0.75;0.05
0.041037;0.199937;0.25;0.75;0.05
0.042005;0.199933;0.25;0.75;0.05
0.043020;0.199925;0.25;0.75;0.05
0.044033;0.199921;0.25;0.75;0.05
0.045045;0.199919;0.25;0.75;0.05
0.046008;0.199918;0.25;0.75;0.05
0.047019;0.199917;0.25;0.75;0.05
0.048030;0.199917;0.25;0.75;0.05
0.049041;0.199916;0.25;0.75;0.05
0.050006;0.199916;0.25;0.75;0.05
0.051013;0.199917;0.25;0.75;0.05
0.052013;0.199924;0.25;0.75;0.05
0.053014;0.199938;0.25;0.75;0.05
0.054010;0.199956;0.25;0.75;0.05
0.055010;0.199973;0.25;0.75;0.05
0.056016;0.199985;0.25;0.75;0.05
0.057023;0.199994;0.25;0.75;0.05
0.058032;0.200001;0.25;0.75;0.05
0.059041;0.200005;0.25;0.75;0.05
0.060003;0.200004;0.25;0.75;0.05
0.061010;0.200001;0.25;0.75;0.05
0.062017;0.199997;0.25;0.75;0.05
0.063024;0.199992;0.25;0.75;0.05
0.064023;0.199985;0.25;0.75;0.05
0.065020;0.199976;0.25;0.75;0.05
0.066025;0.199965;0.25;0.75;0.05
0.067032;0.199953;0.25;0.75;0.05
0.068041;0.199941;0.25;0.75;0.05
0.069001;0.19993;0.25;0.75;0.05
0.070004;0.19992;0.25;0.75;0.05
0.071002;0.199913;0.25;0.75;0.05
0.072004;0.199909;0.25;0.75;0.05
0.073008;0.199908;0.25;0.75;0.05
0.074011;0.199909;0.25;0.75;0.05
0.075017;0.199913;0.25;0.75;0.05
0.076023;0.199919;0.25;0.75;0.05
0.077027;0.199923;0.25;0.75;0.05
0.078027;0.199926;0.25;0.75;0.05
0.079017;0.199926;0.25;0.75;0.05
0.080019;0.199925;0.25;0.75;0.05
0.081022;0.199923;0.25;0.75;0.05
0.082020;0.199923;0.25;0.75;0.05
0.083014;0.199924;0.25;0.75;0.05
0.084018;0.199929;0.25;0.75;0.05
0.085023;0.199937;0.25;0.75;0.05
0.086027;0.199945;0.25;0.75;0.05
0.087031;0.199952;0.25;0.75;0.05
0.088034;0.199959;0.25;0.75;0.05
0.089039;0.199963;0.25;0.75;0.05
0.090042;0.199965;0.25;0.75;0.05
0.091023;0.199965;0.25;0.75;0.05
0.092004;0.199963;0.25;0.75;0.05
0.093043;0.199962;0.25;0.75;0.05
0.094040;0.199961;0.25;0.75;0.05
0.095041;0.199959;0.25;0.75;0.05
0.096044;0.199954;0.25;0.75;0.05
0.097040;0.199946;0.25;0.75;0.05
0.098035;0.199936;0.25;0.75;0.05
0.099035;0.199925;0.25;0.75;0.05
0.100034;0.199913;0.25;0.75;0.05
0.101040;0.199901;0.25;0.75;0.05
0.102002;0.199891;0.25;0.75;0.05
0.103006;0.199882;0.25;0.75;0.05
0.104005;0.199874;0.25;0.75;0.05
0.105041;0.199868;0.25;0.75;0.05
0.106024;0.199865;0.25;0.75;0.05
0.107016;0.199864;0.25;0.75;0.05
0.108008;0.199863;0.25;0.75;0.05
