time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;5.25;0.482;0.05
0.001021;-3.40282e+38;5.25;0.482;0.05
0.002006;-3.40282e+38;5.25;0.482;0.05
0.003025;-3.40282e+38;5.25;0.482;0.05
0.004009;-3.40282e+38;5.25;0.482;0.05
0.005028;-3.40282e+38;5.25;0.482;0.05
0.006012;-3.40282e+38;5.25;0.482;0.05
0.007032;-3.40282e+38;5.25;0.482;0.05
0.008016;-3.40282e+38;5.25;0.482;0.05
0.009000;-3.40282e+38;5.25;0.482;0.05
0.010019;-3.40282e+38;5.25;0.482;0.05
0.011002;-3.40282e+38;5.25;0.482;0.05
0.012020;-3.40282e+38;5.25;0.482;0.05
0.013003;-3.40282e+38;5.25;0.482;0.05
0.014020;-3.40282e+38;5.25;0.482;0.05
0.015002;-3.40282e+38;5.25;0.482;0.05
0.016019;-3.40282e+38;5.25;0.482;0.05
0.017035;-3.40282e+38;5.25;0.482;0.05
0.018015;-3.40282e+38;5.25;0.482;0.05
0.019031;-3.40282e+38;5.25;0.482;0.05
0.020011;-3.40282e+38;5.25;0.482;0.05
0.021026;-3.40282e+38;5.25;0.482;0.05
0.022007;-3.40282e+38;5.25;0.482;0.05
0.023022;-3.40282e+38;5.25;0.482;0.05
0.024001;-3.40282e+38;5.25;0.482;0.05
0.025016;-3.40282e+38;5.25;0.482;0.05
0.026030;-3.40282e+38;5.25;0.482;0.05
0.027010;-3.40282e+38;5.25;0.482;0.05
0.028023;-3.40282e+38;5.25;0.482;0.05
0.029000;-3.40282e+38;5.25;0.482;0.05
0.030011;-3.40282e+38;5.25;0.482;0.05
0.031022;-3.40282e+38;5.25;0.482;0.05
0.032032;-3.40282e+38;5.25;0.482;0.05
0.033007;-3.40282e+38;5.25;0.482;0.05
0.034017;-3.40282e+38;5.25;0.482;0.05
0.035027;-3.40282e+38;5.25;0.482;0.05
0.036000;-3.40282e+38;5.25;0.482;0.05
0.037007;-3.40282e+38;5.25;0.482;0.05
0.038015;-3.40282e+38;5.25;0.482;0.05
0.039024;-3.40282e+38;5.25;0.482;0.05
0.040032;-3.40282e+38;5.25;0.482;0.05
0.041005;-3.40282e+38;5.25;0.482;0.05
0.042012;-3.40282e+38;5.25;0.482;0.05
0.043018;-3.40282e+38;5.25;0.482;0.05
0.044025;-3.40282e+38;5.25;0.482;0.05
0.045032;-3.40282e+38;5.25;0.482;0.05
0.046002;-3.40282e+38;5.25;0.482;0.05
0.047007;-3.40282e+38;5.25;0.482;0.05
0.048011;-3.40282e+38;5.25;0.482;0.05
0.049010;-3.40282e+38;5.25;0.482;0.05
0.050007;-3.40282e+38;5.25;0.482;0.05
0.051010;-3.40282e+38;5.25;0.482;0.05
0.052016;-3.40282e+38;5.25;0.482;0.05
0.053021;-3.40282e+38;5.25;0.482;0.05
0.054026;-3.40282e+38;5.25;0.482;0.05
0.055031;-3.40282e+38;5.25;0.482;0.05
0.056034;-3.40282e+38;5.25;0.482;0.05
0.057002;-3.40282e+38;5.25;0.482;0.05
0.058006;-3.40282e+38;5.25;0.482;0.05
0.059011;-3.40282e+38;5.25;0.482;0.05
0.060017;-3.40282e+38;5.25;0.482;0.05
0.061021;-3.40282e+38;5.25;0.482;0.05
0.062025;-3.40282e+38;5.25;0.482;0.05
0.063028;-3.40282e+38;5.25;0.482;0.05
0.064031;-3.40282e+38;5.25;0.482;0.05
0.065034;-3.40282e+38;5.25;0.482;0.05
