time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;7.5;0.482;0.1152
0.001021;-3.40282e+38;7.5;0.482;0.1152
0.002006;-3.40282e+38;7.5;0.482;0.1152
0.003025;-3.40282e+38;7.5;0.482;0.1152
0.004009;-3.40282e+38;7.5;0.482;0.1152
0.005028;-3.40282e+38;7.5;0.482;0.1152
0.006012;-3.40282e+38;7.5;0.482;0.1152
0.007032;-3.40282e+38;7.5;0.482;0.1152
0.008016;-3.40282e+38;7.5;0.482;0.1152
0.009000;-3.40282e+38;7.5;0.482;0.1152
0.010019;-3.40282e+38;7.5;0.482;0.1152
0.011002;-3.40282e+38;7.5;0.482;0.1152
0.012020;-3.40282e+38;7.5;0.482;0.1152
0.013003;-3.40282e+38;7.5;0.482;0.1152
0.014020;-3.40282e+38;7.5;0.482;0.1152
0.015002;-3.40282e+38;7.5;0.482;0.1152
0.016019;-3.40282e+38;7.5;0.482;0.1152
0.017035;-3.40282e+38;7.5;0.482;0.1152
0.018015;-3.40282e+38;7.5;0.482;0.1152
0.019031;-3.40282e+38;7.5;0.482;0.1152
0.020011;-3.40282e+38;7.5;0.482;0.1152
0.021026;-3.40282e+38;7.5;0.482;0.1152
0.022007;-3.40282e+38;7.5;0.482;0.1152
0.023022;-3.40282e+38;7.5;0.482;0.1152
0.024001;-3.40282e+38;7.5;0.482;0.1152
0.025016;-3.40282e+38;7.5;0.482;0.1152
0.026030;-3.40282e+38;7.5;0.482;0.1152
0.027010;-3.40282e+38;7.5;0.482;0.1152
0.028023;-3.40282e+38;7.5;0.482;0.1152
0.029000;-3.40282e+38;7.5;0.482;0.1152
0.030011;-3.40282e+38;7.5;0.482;0.1152
0.031022;-3.40282e+38;7.5;0.482;0.1152
0.032032;-3.40282e+38;7.5;0.482;0.1152
0.033007;-3.40282e+38;7.5;0.482;0.1152
0.034017;-3.40282e+38;7.5;0.482;0.1152
0.035027;-3.40282e+38;7.5;0.482;0.1152
0.036000;-3.40282e+38;7.5;0.482;0.1152
0.037007;-3.40282e+38;7.5;0.482;0.1152
0.038015;-3.40282e+38;7.5;0.482;0.1152
0.039024;-3.40282e+38;7.5;0.482;0.1152
0.040032;-3.40282e+38;7.5;0.482;0.1152
0.041005;-3.40282e+38;7.5;0.482;0.1152
0.042012;-3.40282e+38;7.5;0.482;0.1152
0.043018;-3.40282e+38;7.5;0.482;0.1152
0.044025;-3.40282e+38;7.5;0.482;0.1152
0.045032;-3.40282e+38;7.5;0.482;0.1152
0.046002;-3.40282e+38;7.5;0.482;0.1152
0.047007;-3.40282e+38;7.5;0.482;0.1152
0.048011;-3.40282e+38;7.5;0.482;0.1152
0.049010;-3.40282e+38;7.5;0.482;0.1152
0.050007;-3.40282e+38;7.5;0.482;0.1152
0.051010;-3.40282e+38;7.5;0.482;0.1152
0.052016;-3.40282e+38;7.5;0.482;0.1152
0.053021;-3.40282e+38;7.5;0.482;0.1152
0.054026;-3.40282e+38;7.5;0.482;0.1152
0.055031;-3.40282e+38;7.5;0.482;0.1152
0.056034;-3.40282e+38;7.5;0.482;0.1152
0.057002;-3.40282e+38;7.5;0.482;0.1152
0.058006;-3.40282e+38;7.5;0.482;0.1152
