time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;7.5;0.5;0.15
0.001137;-3.40282e+38;7.5;0.5;0.15
0.002129;-3.40282e+38;7.5;0.5;0.15
0.003122;-3.40282e+38;7.5;0.5;0.15
0.004115;-3.40282e+38;7.5;0.5;0.15
0.005107;-3.40282e+38;7.5;0.5;0.15
0.006099;-3.40282e+38;7.5;0.5;0.15
0.007093;-3.40282e+38;7.5;0.5;0.15
0.008087;-3.40282e+38;7.5;0.5;0.15
0.009079;-3.40282e+38;7.5;0.5;0.15
0.010071;-3.40282e+38;7.5;0.5;0.15
0.011065;-3.40282e+38;7.5;0.5;0.15
0.012057;-3.40282e+38;7.5;0.5;0.15
0.013047;-3.40282e+38;7.5;0.5;0.15
0.014039;-3.40282e+38;7.5;0.5;0.15
0.015031;-3.40282e+38;7.5;0.5;0.15
0.016023;-3.40282e+38;7.5;0.5;0.15
0.017014;-3.40282e+38;7.5;0.5;0.15
0.018005;-3.40282e+38;7.5;0.5;0.15
0.019138;-3.40282e+38;7.5;0.5;0.15
0.020127;-3.40282e+38;7.5;0.5;0.15
0.021116;-3.40282e+38;7.5;0.5;0.15
0.022106;-3.40282e+38;7.5;0.5;0.15
0.023096;-3.40282e+38;7.5;0.5;0.15
0.024086;-3.40282e+38;7.5;0.5;0.15
0.025075;-3.40282e+38;7.5;0.5;0.15
0.026064;-3.40282e+38;7.5;0.5;0.15
0.027053;-3.40282e+38;7.5;0.5;0.15
0.028041;-3.40282e+38;7.5;0.5;0.15
0.029029;-3.40282e+38;7.5;0.5;0.15
0.030017;-3.40282e+38;7.5;0.5;0.15
0.031005;-3.40282e+38;7.5;0.5;0.15
0.032133;-3.40282e+38;7.5;0.5;0.15
0.033120;-3.40282e+38;7.5;0.5;0.15
0.034106;-3.40282e+38;7.5;0.5;0.15
0.035092;-3.40282e+38;7.5;0.5;0.15
0.036078;-3.40282e+38;7.5;0.5;0.15
0.037064;-3.40282e+38;7.5;0.5;0.15
0.038049;-3.40282e+38;7.5;0.5;0.15
0.039034;-3.40282e+38;7.5;0.5;0.15
0.040019;-3.40282e+38;7.5;0.5;0.15
0.041003;-3.40282e+38;7.5;0.5;0.15
0.042127;-3.40282e+38;7.5;0.5;0.15
0.043111;-3.40282e+38;7.5;0.5;0.15
0.044094;-3.40282e+38;7.5;0.5;0.15
0.045077;-3.40282e+38;7.5;0.5;0.15
0.046059;-3.40282e+38;7.5;0.5;0.15
0.047040;-3.40282e+38;7.5;0.5;0.15
0.048021;-3.40282e+38;7.5;0.5;0.15
0.049002;-3.40282e+38;7.5;0.5;0.15
0.050123;-3.40282e+38;7.5;0.5;0.15
0.051103;-3.40282e+38;7.5;0.5;0.15
0.052083;-3.40282e+38;7.5;0.5;0.15
0.053063;-3.40282e+38;7.5;0.5;0.15
0.054043;-3.40282e+38;7.5;0.5;0.15
0.055023;-3.40282e+38;7.5;0.5;0.15
0.056002;-3.40282e+38;7.5;0.5;0.15
0.057122;-3.40282e+38;7.5;0.5;0.15
0.058101;-3.40282e+38;7.5;0.5;0.15
0.059081;-3.40282e+38;7.5;0.5;0.15
0.060062;-3.40282e+38;7.5;0.5;0.15
0.061042;-3.40282e+38;7.5;0.5;0.15
0.062022;-3.40282e+38;7.5;0.5;0.15
0.063002;-3.40282e+38;7.5;0.5;0.15
0.064122;-3.40282e+38;7.5;0.5;0.15
0.065101;-3.40282e+38;7.5;0.5;0.15
0.066081;-3.40282e+38;7.5;0.5;0.15
0.067060;-3.40282e+38;7.5;0.5;0.15
0.068039;-3.40282e+38;7.5;0.5;0.15
0.069018;-3.40282e+38;7.5;0.5;0.15
0.070138;-3.40282e+38;7.5;0.5;0.15
0.071119;-3.40282e+38;7.5;0.5;0.15
0.072101;-3.40282e+38;7.5;0.5;0.15
0.073082;-3.40282e+38;7.5;0.5;0.15
0.074063;-3.40282e+38;7.5;0.5;0.15
0.075044;-3.40282e+38;7.5;0.5;0.15
0.076024;-3.40282e+38;7.5;0.5;0.15
0.077004;-3.40282e+38;7.5;0.5;0.15
0.078124;-3.40282e+38;7.5;0.5;0.15
