nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13570;0.500036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012697;-0.009630;0.084064;6.480300;0.511875;0.043459;0.574994;-0.441759;0.027790
13597;0.501027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013853;-0.011052;0.086879;6.480286;0.511864;0.043546;0.615453;-0.529828;0.031030
13624;0.502017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014556;-0.011930;0.085825;6.480272;0.511853;0.043632;0.664810;-0.572319;0.033518
13651;0.503008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015257;-0.012807;0.084768;6.480257;0.511840;0.043716;0.714215;-0.614848;0.036009
13679;0.504035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015983;-0.013714;0.083668;6.480241;0.511827;0.043803;0.765486;-0.658995;0.038594
13706;0.505025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016681;-0.014588;0.082603;6.480225;0.511813;0.043885;0.814975;-0.701591;0.041089
13733;0.506015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017244;-0.015083;0.076366;6.480209;0.511798;0.043964;0.829657;-0.731467;0.036970
13760;0.507004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.018893;-0.014565;0.070160;6.480191;0.511783;0.044036;0.802450;-0.838599;0.035694
13788;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020430;-0.014759;0.065124;6.480171;0.511768;0.044105;0.808621;-0.935217;0.038019
13815;0.509021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021598;-0.015881;0.062386;6.480150;0.511753;0.044168;0.871740;-1.008219;0.040987
13842;0.510011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.023098;-0.016090;0.057427;6.480128;0.511737;0.044227;0.878840;-1.103519;0.043466
13869;0.511001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024415;-0.016831;0.053674;6.480104;0.511721;0.044282;0.921400;-1.188324;0.045597
13897;0.512027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024938;-0.017729;0.047230;6.480079;0.511703;0.044334;0.966885;-1.225003;0.046232
13924;0.513017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026434;-0.017205;0.040472;6.480053;0.511686;0.044377;0.940439;-1.327924;0.045175
13951;0.514008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026984;-0.017011;0.031848;6.480027;0.511669;0.044413;0.930696;-1.366052;0.044660
13979;0.515035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.027745;-0.016956;0.023960;6.479999;0.511652;0.044441;0.926604;-1.439539;0.043843
14006;0.516026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028146;-0.016905;0.015294;6.479971;0.511635;0.044460;0.922462;-1.479457;0.043192
14033;0.517017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029179;-0.016741;0.007650;6.479943;0.511618;0.044472;0.914901;-1.556438;0.042611
14060;0.518009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029680;-0.016698;-0.001053;6.479913;0.511602;0.044475;0.913561;-1.593236;0.042317
14088;0.519036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031038;-0.016549;-0.008410;6.479882;0.511584;0.044470;0.907361;-1.701115;0.041744
14115;0.520027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031401;-0.016502;-0.017442;6.479851;0.511568;0.044457;0.905932;-1.728218;0.041556
14142;0.521018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.032234;-0.016526;-0.025383;6.479820;0.511552;0.044436;0.908470;-1.800881;0.039357
14169;0.522009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.033626;-0.016450;-0.032600;6.479787;0.511535;0.044407;0.909628;-1.903137;0.039729
14196;0.523000;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.034908;-0.016372;-0.039826;6.479753;0.511519;0.044371;0.910838;-2.006295;0.040084
14224;0.524028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016954;0.007061;0.089421;6.479731;0.511520;0.044432;-0.526827;-0.514029;-0.017897
14251;0.525018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016164;0.007676;0.081336;6.479714;0.511527;0.044516;-0.491044;-0.593891;-0.015631
14278;0.526009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015969;0.007910;0.073447;6.479699;0.511535;0.044592;-0.454296;-0.676422;-0.013787
14305;0.527000;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017174;0.007263;0.065882;6.479682;0.511543;0.044661;-0.417936;-0.758786;-0.012648
14333;0.528027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017940;0.006913;0.057138;6.479664;0.511550;0.044724;-0.396200;-0.814215;-0.011686
14360;0.529018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019221;0.006298;0.049562;6.479646;0.511557;0.044777;-0.361730;-0.902685;-0.010706
14387;0.530009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019973;0.005935;0.041110;6.479626;0.511563;0.044822;-0.341304;-0.955144;-0.010122
14415;0.531036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019868;0.005932;0.031263;6.479606;0.511569;0.044859;-0.337568;-0.968152;-0.011262
14442;0.532026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019868;0.005932;0.021545;6.479586;0.511575;0.044885;-0.337556;-0.968158;-0.011206
14469;0.533017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014330;-0.000263;0.025199;6.479571;0.511575;0.044913;0.064281;-0.523548;-0.012714
14496;0.534008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013556;-0.001096;0.017315;6.479558;0.511574;0.044934;0.119490;-0.462876;-0.013501
14524;0.535035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012659;-0.002048;0.009346;6.479544;0.511573;0.044948;0.183090;-0.393186;-0.014666
14551;0.536025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011849;-0.002908;0.001538;6.479532;0.511570;0.044953;0.240524;-0.330257;-0.015691
14578;0.537015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011069;-0.003735;-0.006341;6.479521;0.511567;0.044951;0.295809;-0.269724;-0.016702
14605;0.538005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010113;-0.004746;-0.013809;6.479510;0.511563;0.044940;0.363489;-0.195660;-0.017948
14633;0.539032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009388;-0.005512;-0.022176;6.479500;0.511557;0.044922;0.414816;-0.139524;-0.018904
14660;0.540021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008592;-0.006349;-0.030022;6.479491;0.511552;0.044896;0.471095;-0.078030;-0.019995
14687;0.541012;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007872;-0.007109;-0.038046;6.479483;0.511545;0.044862;0.522063;-0.022323;-0.020916
14714;0.542002;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006972;-0.008056;-0.045652;6.479476;0.511537;0.044821;0.585730;0.047212;-0.022095
14742;0.543029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008380;-0.001840;-0.027208;6.479472;0.511530;0.044774;0.138074;0.726485;0.071922
14769;0.544020;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009628;-0.000930;-0.034405;6.479481;0.511528;0.044744;0.093627;0.786845;0.075830
14796;0.545010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011402;0.000478;-0.040432;6.479492;0.511528;0.044707;0.029342;0.875884;0.079854
14823;0.546001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013128;0.001916;-0.046493;6.479504;0.511530;0.044664;-0.033946;0.964537;0.082884
14851;0.547028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012989;0.005628;0.016515;6.479496;0.511534;0.044669;-0.291462;-0.637776;-0.010145
14878;0.548018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008316;0.001966;0.017908;6.479485;0.511539;0.044686;-0.040231;-0.283404;-0.008297
14905;0.549009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007326;0.000894;0.010541;6.479478;0.511540;0.044700;0.030780;-0.205359;-0.009055
14933;0.550036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006474;-0.000009;0.002463;6.479470;0.511541;0.044706;0.091271;-0.139135;-0.010070
14960;0.551027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002734;0.000507;-0.000890;6.479466;0.511541;0.044707;-0.002461;0.010664;0.018532
14987;0.552018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000193;0.001009;-0.006287;6.479465;0.511542;0.044704;-0.019751;0.118506;0.020029
15014;0.553009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002498;0.001260;-0.011453;6.479466;0.511543;0.044695;-0.016514;0.235227;0.017160
15042;0.554036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004872;0.001628;-0.017501;6.479470;0.511544;0.044680;-0.035311;0.335489;0.020570
15069;0.555026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007320;0.002014;-0.023052;6.479476;0.511546;0.044660;-0.047883;0.439981;0.021586
15096;0.556016;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000081;0.000227;0.001159;6.479482;0.511548;0.044641;-0.011050;0.008840;0.000103
15123;0.557006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000113;-0.000129;0.000033;6.479482;0.511548;0.044641;0.008506;-0.002113;0.000082
15151;0.558033;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000060;0.000083;0.000396;6.479482;0.511548;0.044641;-0.004440;0.006194;-0.000222
15178;0.559023;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000026;0.000102;-0.000258;6.479482;0.511548;0.044641;-0.004831;-0.001854;-0.000393
15205;0.560013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000031;-0.000137;-0.000615;6.479482;0.511548;0.044641;0.008255;0.000889;0.000792
15232;0.561002;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000040;-0.000069;-0.000506;6.479482;0.511548;0.044641;0.004440;0.001480;0.000518
15260;0.562029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000096;-0.000030;0.000571;6.479482;0.511548;0.044641;0.001607;-0.002670;0.000080
15287;0.563019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000235;-0.000269;-0.000284;6.479482;0.511548;0.044641;0.014635;0.012294;0.000697
15314;0.564009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000154;0.000097;-0.000024;6.479482;0.511548;0.044641;-0.001924;0.011335;0.001225
15342;0.565035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000026;-0.000042;-0.000170;6.479482;0.511548;0.044641;0.002206;0.003866;0.000112
15369;0.566026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000135;0.000067;0.000036;6.479482;0.511548;0.044641;-0.002747;0.009140;0.000209
15396;0.567016;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000039;-0.000032;0.000131;6.479482;0.511548;0.044641;0.002435;0.004167;-0.000039
15423;0.568006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000102;-0.000210;-0.000559;6.479482;0.511548;0.044641;0.018950;0.007317;-0.000889
15451;0.569033;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000069;-0.000005;-0.000410;6.479482;0.511548;0.044641;0.002307;0.009190;-0.000541
15478;0.570023;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000167;-0.000039;-0.000670;6.479482;0.511548;0.044641;0.002561;0.007658;0.000333
15505;0.571013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000128;0.000255;-0.000392;6.479482;0.511548;0.044641;-0.013257;-0.005844;-0.000756
15532;0.572004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000186;-0.000001;-0.000155;6.479482;0.511548;0.044641;-0.000215;-0.007825;0.000165
15560;0.573030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000140;0.000018;0.000055;6.479482;0.511548;0.044641;-0.000588;0.009101;-0.000170
15587;0.574021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000117;0.000061;-0.000766;6.479482;0.511548;0.044641;-0.002909;-0.008169;-0.000228
15614;0.575011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000086;0.000085;-0.000828;6.479482;0.511548;0.044641;-0.004237;-0.006167;-0.000105
15641;0.576001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000034;0.000041;0.000779;6.479482;0.511548;0.044641;-0.002210;0.000240;-0.000110
15669;0.577027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000226;-0.000263;0.000045;6.479482;0.511548;0.044641;0.018374;0.025130;-0.000320
15696;0.578018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000216;-0.000252;0.000437;6.479482;0.511548;0.044641;0.013744;0.013238;0.000687
15723;0.579007;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000097;0.000030;-0.000178;6.479482;0.511548;0.044641;-0.000970;0.006496;-0.000178
15751;0.580035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000095;-0.000091;-0.000184;6.479482;0.511548;0.044641;0.005261;0.006570;0.000688
15778;0.581025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000143;0.000185;0.000490;6.479482;0.511548;0.044641;-0.008764;-0.005280;0.000021
15805;0.582015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000173;-0.000376;-0.000807;6.479482;0.511548;0.044641;0.020649;-0.010214;0.000920
15832;0.583005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000111;0.000039;0.000228;6.479482;0.511548;0.044641;-0.002108;0.006851;-0.000058
15860;0.584032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000157;0.000010;-0.000135;6.479482;0.511548;0.044641;0.000347;-0.003790;-0.000389
15887;0.585022;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000060;0.000233;0.000795;6.479482;0.511548;0.044641;-0.012488;-0.000104;-0.000629
15914;0.586012;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000140;-0.000025;0.000194;6.479482;0.511548;0.044641;0.001350;-0.006329;0.000064
15941;0.587002;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000086;0.000033;0.000631;6.479482;0.511548;0.044641;-0.001425;0.007852;-0.000075
15969;0.588029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000257;-0.000007;-0.000158;6.479482;0.511548;0.044641;0.001145;-0.014608;0.000212
15996;0.589019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000061;-0.000070;-0.000016;6.479482;0.511548;0.044641;0.003680;0.004381;0.000191
16023;0.590008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000056;-0.000074;-0.000507;6.479482;0.511548;0.044641;0.004465;-0.002684;0.000608
16051;0.591035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000069;0.000066;-0.000285;6.479482;0.511548;0.044641;-0.003399;0.002985;-0.000199
16078;0.592024;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000100;-0.000035;-0.000622;6.479481;0.511548;0.044641;0.001582;0.007187;0.000365
16105;0.593014;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000106;0.000251;-0.000240;6.479481;0.511548;0.044641;-0.013437;0.005031;-0.000672
16132;0.594003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000033;0.000197;-0.000334;6.479481;0.511548;0.044641;-0.007945;0.006236;0.001172
16160;0.595029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000019;0.000117;0.000279;6.479481;0.511548;0.044641;-0.006264;0.002489;-0.000316
16187;0.596019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000038;0.000213;-0.000418;6.479481;0.511548;0.044641;-0.011311;0.001011;-0.000516
16214;0.597008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000136;-0.000296;-0.001016;6.479481;0.511548;0.044641;0.017185;-0.009907;0.000659
16242;0.598035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000022;0.000072;-0.000214;6.479481;0.511548;0.044641;-0.003874;-0.000808;-0.000194
16269;0.599023;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000046;0.000126;-0.000429;6.479481;0.511548;0.044641;-0.004926;0.004990;0.000485
16296;0.600013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000005;0.000154;0.000276;6.479481;0.511548;0.044641;-0.008276;0.002956;-0.000414
16323;0.601003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000109;-0.000017;0.000091;6.479481;0.511548;0.044641;0.000863;-0.004831;0.000131
16351;0.602030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000141;-0.000007;-0.000353;6.479481;0.511548;0.044641;0.001731;-0.007437;0.000136
16378;0.603020;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000069;-0.000011;-0.000333;6.479481;0.511548;0.044641;0.000579;0.002820;0.000029
16405;0.604011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000081;-0.000148;-0.000325;6.479481;0.511548;0.044641;0.009083;0.006567;0.000163
16432;0.605001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000010;0.000340;0.000641;6.479481;0.511548;0.044641;-0.018204;0.003234;-0.000910
16460;0.606028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000038;0.000057;0.000798;6.479481;0.511548;0.044641;-0.003053;0.000125;-0.000152
16487;0.607019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000164;0.000034;0.000717;6.479481;0.511548;0.044641;-0.001855;-0.006901;-0.000094
16514;0.608009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000014;0.000174;0.000321;6.479481;0.511548;0.044641;-0.009313;0.001073;-0.000466
16542;0.609036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000032;-0.000033;-0.000023;6.479481;0.511548;0.044641;0.003855;0.008510;-0.000467
16569;0.610026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000051;-0.000088;0.000019;6.479481;0.511548;0.044641;0.004664;-0.001787;0.000268
16596;0.611016;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000048;0.000080;0.000069;6.479481;0.511548;0.044641;-0.004279;0.004661;-0.000214
16623;0.612006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000143;0.000032;0.001083;6.479481;0.511548;0.044641;-0.001733;-0.004780;-0.000087
16651;0.613033;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000126;-0.000113;-0.000320;6.479481;0.511548;0.044641;0.006053;-0.007627;0.000303
16678;0.614023;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000174;-0.000068;-0.000549;6.479481;0.511548;0.044641;0.004498;-0.013053;0.000302
16705;0.615013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000004;0.000069;0.000225;6.479481;0.511548;0.044641;-0.003698;0.000279;-0.000175
16732;0.616003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000075;-0.000003;-0.000437;6.479481;0.511548;0.044641;0.000187;-0.005202;0.000009
16760;0.617030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000085;-0.000067;-0.000249;6.479481;0.511548;0.044641;0.004738;0.005982;0.000706
16787;0.618019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000192;-0.000018;-0.000060;6.479481;0.511548;0.044641;0.000984;-0.010425;0.000049
16814;0.619009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000024;0.000139;-0.000057;6.479481;0.511548;0.044641;-0.007279;-0.000302;-0.000410
16842;0.620036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000014;-0.000173;-0.000547;6.479481;0.511548;0.044641;0.009609;-0.000397;0.000622
16869;0.621026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000021;0.000206;0.000810;6.479481;0.511548;0.044641;-0.011035;0.002036;-0.000552
16896;0.622016;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000114;0.000033;-0.000379;6.479481;0.511548;0.044641;-0.001744;-0.005193;-0.000087
16923;0.623006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000025;-0.000129;-0.001078;6.479481;0.511548;0.044641;0.013728;-0.000267;-0.000949
16951;0.624032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000087;0.000085;0.000075;6.479481;0.511548;0.044641;-0.002791;0.001972;-0.000789
16978;0.625022;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000086;0.000145;0.000180;6.479481;0.511548;0.044641;-0.005409;0.004215;-0.000875
17005;0.626012;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000265;0.000216;0.000315;6.479481;0.511548;0.044641;-0.011680;-0.011540;-0.000517
17032;0.627002;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000058;-0.000267;-0.000057;6.479480;0.511548;0.044641;0.014302;-0.003247;0.000715
17060;0.628028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000382;0.000001;-0.000074;6.479480;0.511548;0.044641;0.002914;0.024113;0.000092
17087;0.629018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000149;-0.000027;-0.000490;6.479480;0.511548;0.044641;0.003057;0.010036;0.001114
17114;0.630008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000011;0.000043;-0.000327;6.479480;0.511549;0.044641;0.000049;0.006452;-0.000761
17142;0.631035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000063;0.000015;0.000719;6.479480;0.511549;0.044641;-0.000806;-0.000493;-0.000039
17169;0.632025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000021;-0.000000;0.000025;6.479480;0.511548;0.044641;0.000590;-0.000523;0.000267
17196;0.633015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000046;0.000087;-0.000079;6.479480;0.511549;0.044641;-0.004644;0.003199;-0.000232
17223;0.634005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000040;0.000028;0.000482;6.479480;0.511549;0.044641;-0.000331;0.002793;-0.000369
17251;0.635032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000306;-0.000003;0.001741;6.479480;0.511549;0.044641;0.000182;-0.011750;0.000009
17278;0.636022;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000032;-0.000180;-0.000345;6.479480;0.511549;0.044641;0.009638;0.000769;0.000482
17305;0.637013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000021;0.000175;-0.000023;6.479480;0.511549;0.044641;-0.009416;0.002673;-0.000469
17332;0.638003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000290;0.000184;0.001228;6.479480;0.511549;0.044641;-0.007776;-0.004365;-0.001145
17360;0.639029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000054;0.000382;0.000104;6.479480;0.511549;0.044641;-0.018029;0.000723;0.000091
17387;0.640019;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000013;0.000130;0.000082;6.479480;0.511549;0.044641;-0.006968;0.000926;-0.000347
17414;0.641009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000098;-0.000059;-0.000876;6.479480;0.511549;0.044641;0.003172;-0.007572;0.000157
17442;0.642035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000043;-0.000160;-0.000097;6.479480;0.511549;0.044641;0.009435;0.002868;0.000821
17469;0.643026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000088;-0.000019;-0.000166;6.479480;0.511549;0.044641;0.000612;0.005114;-0.000155
17496;0.644015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000076;0.000213;0.000763;6.479480;0.511549;0.044641;-0.011271;-0.001983;-0.000594
17523;0.645004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000041;-0.000236;-0.000090;6.479480;0.511549;0.044640;0.012672;-0.002439;0.000630
